country,cf_wind,cf_solar,hours,wind_mw,solar_mw,battery_mw,battery_per_dc,hours_matched,energy_matched,curtailed_share,eur_per_mwh,grid_price,cap_mw
it,0.20143119284617444,0.30582894634341645,8749,149.07574871778732,974.6931153352809,712.0493660618947,2.848197464247579,0.8467253400388616,0.8859414028807905,0.274162689835336,78.59250670415003,150.0,1000.0
it,0.20143119284617444,0.30582894634341645,8749,529.4054241389309,1000.0,837.174867140723,3.348699468562892,0.964110184021031,0.9756941466738607,0.3775798024762484,114.13319846620767,1000.0,1000.0
lt,0.21080773833539004,0.07705255105628345,8759,940.2013608619844,1000.0,227.59077783795883,0.9103631113518353,0.656353465007421,0.8167949281882861,0.2493171475716525,142.03773334973602,300.0,1000.0
lt,0.21080773833539004,0.07705255105628345,8759,911.7962280410026,1171.5015248752916,260.2871387002936,1.0411485548011745,0.691403128210983,0.8294311358405603,0.2556997860031449,141.7906728363579,300.0,inf
pl,0.21953529210941833,0.11889853509021182,8760,837.4547569984692,980.6559279727609,354.00032638064755,1.4160013055225902,0.7771689497716895,0.8904930839953772,0.24524349203474535,119.04483571761463,300.0,1000.0
pl,0.21953529210941833,0.11889853509021182,8760,837.4547569984692,980.6559279727609,354.00032638064755,1.4160013055225902,0.7771689497716895,0.8904930839953772,0.24524349203474535,119.04483571761463,300.0,inf
pl,0.21953529210941833,0.11889853509021182,8760,658.2832670247519,582.9383837450005,59.79564539098235,0.2391825815639294,0.42420091324200915,0.7311396039383119,0.14092528527415754,94.33951537675253,150.0,1000.0
pl,0.21953529210941833,0.11889853509021182,8760,1000.0,1000.0,759.5393798071763,3.038157519228705,0.8882420091324201,0.947651448029969,0.2854351165097141,166.33122877065531,1000.0,1000.0
pt,0.2837448587857264,0.22595040236202715,8760,367.16308788155726,981.0915518389548,663.122323543735,2.65248929417494,0.9289954337899543,0.959142152396236,0.22879356283098823,84.50632837641393,300.0,1000.0
pt,0.2837448587857264,0.22595040236202715,8760,367.16308788155726,981.0915518389548,663.122323543735,2.65248929417494,0.9289954337899543,0.959142152396236,0.22879356283098823,84.50632837641393,300.0,inf
ro,0.2224605321543488,0.14838598181699153,8760,693.4801097246125,1000.0,534.3062101715878,2.1372248406863514,0.7997716894977169,0.8817602092580153,0.24842782766776864,121.58731265606886,300.0,1000.0
ro,0.2224605321543488,0.14838598181699153,8760,624.352062773286,1268.7096116469854,570.1163157836711,2.2804652631346842,0.827054794520548,0.8959636071041729,0.290490670917362,120.7578169290784,300.0,inf
se,0.24720814081094108,0.06246811201187485,8758,1000.0,617.2972412584039,87.81452673942583,0.3512581069577033,0.6292532541676181,0.8552434575652537,0.24902025554090895,119.44557854464763,300.0,1000.0
se,0.24720814081094108,0.06246811201187485,8758,1095.1699407299589,528.9707734808176,64.57242390034037,0.25828969560136145,0.6478648093171957,0.8657415722086876,0.28567044333643177,118.90799843815161,300.0,inf
